Gene,WGCNA_Modules, IntraModular Connectivity,
Os03g0184500,Turquoise,74.9302884083514,
Os03g0161100,Turquoise,74.9119918614457,
Os02g0739900,Turquoise,74.7504169510347,
Os01g0282800,Turquoise,74.7196464600448,
Os02g0139000,Blue,74.5026627252028,
Os01g0294700,Turquoise,74.4757001879013,
Os04g0597866,Turquoise,74.4616224142005,
Os03g0661300,Turquoise,74.3925189271548,
Os04g0408600,Turquoise,74.1472475716354,
Os05g0543100,Turquoise,73.8250533676988,
Os06g0227250,Turquoise,73.7620254762518,
Os11g0107700,Turquoise,73.6791629566904,
Os11g0708100,Turquoise,73.332954041264,
Os08g0116500,Yellow,73.2058121952429,
Os02g0175400,Turquoise,73.0992483313545,
Os09g0485900,Yellow,73.0595798621232,
Os07g0659500,Turquoise,73.0376842831313,
Os09g0538500,Turquoise,73.0106955212815,
Os05g0210600,Turquoise,72.7374017433154,
Os05g0459400,Turquoise,72.6091714753309,
Os05g0119700,Turquoise,72.4863624317891,
Os03g0297800,Turquoise,72.1874581430581,
Os10g0577400,Turquoise,72.1019025150344,
Os03g0607600,Turquoise,71.9468578450516,
Os08g0225000,Turquoise,71.9244639699331,
Os03g0736300,Turquoise,71.8324015097162,
Os08g0190700,Turquoise,71.683563057458,
Os02g0628200,Turquoise,71.5680774382102,
Os02g0717800,Yellow,71.4328851393044,
Os09g0422500,Turquoise,71.4166574317172,
Os12g0273700,Turquoise,70.9913325641547,
Os03g0335500,Turquoise,70.9329299547586,
Os08g0230200,Turquoise,70.8656897550978,
Os05g0394200,Turquoise,70.3908591783093,
Os12g0487500,Turquoise,70.2666738078705,
Os05g0397900,Turquoise,70.0943472032471,
Os07g0462200,Turquoise,70.0453633137786,
Os08g0160500,Turquoise,70.0116327878962,
Os03g0756000,Yellow,68.8589185096455,
Os12g0409800,Turquoise,68.6670620546174,
Os05g0372400,Blue,68.4438590107201,
Os08g0431300,Turquoise,68.3975129404726,
Os03g0817800,Turquoise,68.3129490250265,
Os03g0265300,Blue,67.943607206475,
Os08g0546700,Turquoise,67.8617375577047,
Os08g0117300,Yellow,67.8004736261122,
Os05g0563600,Turquoise,67.7310362540352,
Os05g0167600,Turquoise,67.45022502034,
Os01g0786900,Blue,67.3941926157666,
Os09g0439000,Turquoise,67.3373831760536,
Os01g0750300,Turquoise,67.3177361186001,
Os04g0598200,Yellow,67.1902841646599,
Os03g0856300,Turquoise,67.0386066492324,
Os02g0170100,Turquoise,66.9584005910365,
Os09g0547200,Turquoise,66.9138309520601,
Os02g0448400,Turquoise,66.7417921943126,
Os07g0637300,Blue,66.3023991270146,
Os01g0869300,Turquoise,66.2703864885823,
Os01g0744000,Turquoise,66.0439832758519,
Os09g0507800,Yellow,66.0017767393247,
Os04g0376700,Turquoise,65.9940889481883,
Os05g0358200,Turquoise,65.9786480165604,
Os02g0715300,Turquoise,65.883562896992,
Os07g0474300,Turquoise,65.8597580858153,
Os07g0112700,Turquoise,65.7977016525315,
Os04g0554500,Turquoise,65.7179925675805,
Os04g0473400,Yellow,65.4615864234383,
Os05g0440800,Turquoise,65.4240587958137,
Os01g0957100,Turquoise,65.3754364935371,
Os01g0914300,Turquoise,65.3231858050344,
Os02g0732200,Turquoise,65.1196731781266,
Os03g0105600,Turquoise,64.847596334992,
Os03g0424800,Yellow,64.7014791393506,
Os11g0160100,Blue,64.6942822374853,
Os12g0547500,Turquoise,64.5976025856985,
Os09g0286300,Turquoise,63.7777793479792,
Os09g0416900,Turquoise,63.7635860176451,
Os07g0109400,Turquoise,63.7185006109056,
Os01g0917200,Turquoise,63.6284730522202,
Os03g0851000,Yellow,63.5981550565166,
Os05g0480400,Turquoise,63.5822753742557,
Os03g0232600,Turquoise,63.5330525108058,
Os12g0125300,Turquoise,63.4630541213859,
Os02g0529700,Turquoise,63.4206049448749,
Os04g0511700,Turquoise,63.2247603573672,
Os07g0673200,Blue,63.1435696538701,
Os10g0463800,Blue,63.1134643097172,
Os05g0499300,Turquoise,63.0821798010468,
Os05g0552300,Yellow,63.0149259307672,
Os02g0675700,Turquoise,62.8853753127952,
Os03g0219900,Green,62.8314948502435,
Os12g0507300,Blue,62.8252931468397,
Os01g0678600,Green,62.7839224728988,
Os05g0503000,Turquoise,62.557756182492,
Os06g0562600,Yellow,62.5361203991577,
Os06g0181566,Yellow,62.3246193697035,
Os11g0247500,Turquoise,62.2638610334193,
Os07g0546700,Yellow,62.2376989023214,
Os11g0247300,Turquoise,62.1074856361236,
Os01g0607900,Turquoise,62.0924143889491,
Os03g0421800,Turquoise,62.0133487886486,
Os12g0541500,Green,61.9772059766731,
Os05g0541900,Yellow,61.8853219359145,
Os02g0511901,Turquoise,61.6959935937565,
Os12g0289600,Turquoise,61.5424148271996,
Os02g0658100,Turquoise,61.4542172411894,
Os03g0248000,Blue,61.3730664734617,
Os05g0454200,Turquoise,61.3438285722135,
Os01g0819100,Turquoise,61.1799524006218,
Os08g0505200,Turquoise,61.1667973061611,
Os02g0655800,Turquoise,61.0693603040789,
Os04g0398000,Blue,61.0163485498531,
Os09g0307300,Turquoise,60.9186618336019,
Os10g0571300,Turquoise,60.7682774835384,
Os12g0605500,Turquoise,60.7595822633341,
Os01g0934000,Blue,60.5041598159153,
Os09g0452200,Turquoise,60.3451636535339,
Os12g0601400,Turquoise,60.3039955587525,
Os05g0409400,Turquoise,60.2394723270327,
Os07g0435300,Green,60.1783898195915,
Os12g0112200,Blue,60.1539441442392,
Os09g0279500,Green,60.0939441249587,
Os03g0356300,Green,59.9577516178998,
Os11g0629300,Blue,59.7896034725969,
Os08g0561500,Turquoise,59.721849848737,
Os03g0712100,Turquoise,59.70466036859,
