id,Label,kTotal,Rank,WGCNA_Modules, IntraModular Connectivity,
630,Os03g0774300,12.1149700984793,5528,Red,2.4610021666725,
631,Os12g0153200,17.343974272604,3982,Magenta,7.84373872063134,
632,Os03g0124300,26.9309499653932,2332,Black,10.4575090786429,
633,Os05g0541750,18.0319074992707,3816,Yellow,8.86384735385978,
634,Os09g0513200,13.6217525343741,5033,Brown,12.2568796366922,
635,Os03g0661300,87.122509843439,173,Turquoise,74.3925189271548,
636,Os08g0509600,0.601649803100351,13087,Grey,0.01038519452822,
637,Os08g0524200,20.8133543484143,3253,Magenta,11.5135409477913,
638,Os12g0131400,6.19862682390415,8150,lightYellow,1.34615826765768,
639,Os09g0115900,4.03323621721955,9643,Grey60,1.76778995908937,
640,Os06g0334600,17.1165780441115,4036,Salmon,12.3121835940923,
641,Os04g0449500,26.4486589373046,2406,Pink,9.33251170081164,
642,Os09g0528800,4.17919385887745,9531,lightYellow,1.10506373166065,
643,Os03g0388432,2.23949822853039,11239,lightYellow,0.562935352164607,
644,Os11g0266500,14.127496807997,4875,Brown,12.7918252348204,
645,Os06g0661200,2.80057471074083,10668,MidnightBlue,0.964593780881532,
646,Os07g0581700,1.25473327611033,12299,GreenYellow,0.430471783197507,
647,Os04g0460600,27.6970067313562,2248,Magenta,10.3290594057051,
648,Os05g0490400,24.0555698885472,2742,GreenYellow,12.8163535309979,
649,Os11g0685200,9.45513028005824,6513,Purple,1.11360647550943,
650,Os12g0257600,26.499097499259,2398,Black,5.94678142858043,
651,Os04g0538750,1.64547741356175,11857,Blue,0.958553817836963,
652,Os02g0776400,18.319256010205,3757,Brown,11.2850255018771,
653,Os12g0506500,1.03019247881168,12574,lightYellow,0.467212139600241,
654,Os09g0392000,0.734028709710163,12934,Tan,0.11326027206586,
655,Os11g0210201,14.4632557084873,4766,Magenta,7.60849144683503,
656,Os02g0160250,5.7492276943441,8441,MidnightBlue,3.47812495862259,
657,Os12g0511900,16.0302735810465,4342,Brown,13.1777508070205,
658,Os06g0699600,4.00572127897925,9663,Yellow,2.26227516966706,
659,Os05g0557200,5.07581475410022,8861,Black,1.27905881308161,
660,Os04g0671200,35.8183167811245,1515,Blue,12.6236107308977,
661,Os02g0626532,11.3669413784491,5800,MidnightBlue,5.93792622062006,
662,Os07g0185200,5.2929724554452,8710,Grey60,2.69905398772226,
663,Os05g0584600,0.569432353136883,13132,Yellow,0.266717858083864,
664,Os04g0110100,9.28171430340352,6586,Black,3.36867415498293,
665,Os10g0361900,8.96496060718479,6734,Blue,3.72521872793015,
666,Os02g0512000,3.52725127158005,10045,Tan,1.96166337598162,
667,Os08g0374600,33.332430490265,1690,lightYellow,13.073035054265,
668,Os02g0133100,10.2325736950976,6234,Black,4.80520833743576,
669,Os02g0735800,17.0720925259244,4050,Green,14.630584222827,
670,Os05g0100600,26.1292880091193,2450,Pink,3.52820572570157,
671,Os12g0224000,14.328731226032,4800,MidnightBlue,5.22849772365849,
672,Os02g0498700,10.1509527291699,6261,Red,6.0452094915147,
673,Os01g0159300,47.3377961398288,897,Black,16.0988782644531,
674,Os08g0379200,19.6703543775256,3492,GreenYellow,10.9729601467379,
675,Os02g0190800,3.35999186929435,10176,lightYellow,0.738237220147602,
676,Os12g0498900,29.7267267796282,2010,Turquoise,28.0277415939848,
677,Os05g0526800,2.75065017106018,10721,Salmon,1.5289266874614,
678,Os09g0558000,33.0162954428025,1721,Black,6.86473473264427,
679,Os03g0187800,9.38617439734655,6540,MidnightBlue,4.96030414648554,
680,Os06g0234200,29.980248646801,1990,Turquoise,24.1009116354069,
681,Os01g0787400,17.3908361206482,3967,Magenta,10.7689426168859,
682,Os04g0103500,22.3820028742271,2990,lightYellow,8.9036449640361,
683,Os02g0539200,26.0242856815913,2458,Black,10.3716989999974,
684,Os05g0119200,33.1263619900303,1709,Black,12.5805279572094,
685,Os04g0429800,4.90825717945319,8979,Pink,1.36697363745019,
686,Os01g0370000,1.31876333877857,12218,lightYellow,0.414811263032749,
687,Os01g0194000,10.7407329549787,6030,Black,2.0846963174144,
688,Os01g0948500,16.4176598340937,4240,MidnightBlue,12.1270645516618,
689,Os06g0633100,2.0068418467754,11460,Purple,0.915292429339596,
690,Os07g0585500,19.0805185925618,3612,GreenYellow,5.67497066446444,
691,Os09g0298200,5.10262207293509,8846,Turquoise,3.28602204397046,
692,Os03g0268600,35.9126644306969,1504,Magenta,26.7993961243805,
693,Os03g0597200,32.8410527501377,1734,Salmon,15.8758857536366,
694,Os03g0767800,34.967932559482,1582,Blue,19.8485223533365,
695,Os08g0270500,27.0212329643226,2327,Brown,22.2051473166474,
